tracker_name,package_prefix,categories,network_signature,website,source,code_signature
Signal360,com.rnsignal360,Analytics,signal360\.com|sonicnotify\.com,http://www.signal360.com,exodus,com.signal360.sdk.core.|com.sonicnotify.sdk.core.|com.rnsignal360
Signal360,com.signal360.sdk.core,Analytics,signal360\.com|sonicnotify\.com,http://www.signal360.com,exodus,com.signal360.sdk.core.|com.sonicnotify.sdk.core.|com.rnsignal360
Signal360,com.sonicnotify.sdk.core,Analytics,signal360\.com|sonicnotify\.com,http://www.signal360.com,exodus,com.signal360.sdk.core.|com.sonicnotify.sdk.core.|com.rnsignal360
SignalFrame,com.wirelessregistry.observersdk,Location,,https://signalframe.com/,exodus,com.wirelessregistry.observersdk.
SilverPush,com.silverpush,Analytics,54\.243\.73\.253:8080/SilverPush/|silverpush\.co|silverpush\.com,http://silverpush.co,exodus,com.silverpush.
Singlespot,com.sptproximitykit,Analytics,singlespot\.com,https://www.singlespot.com/,exodus,com.sptproximitykit.
Singular,com.singular.sdk,Analytics,,https://singular.net/,exodus,com.singular.sdk
Sizmek,.sizmek,Analytics,serving-sys\.com,https://www.sizmek.com,exodus,.sizmek.
Smaato,com.smaato,,smaato\.net|soma\.smaato\.net,https://smaato.com,exodus,com.smaato.
Smart,com.smartadserver,,adsrvr\.org|akamai\.smartadserver\.com|cdn1\.smartadserver\.com|diff2\.smartadserver\.com|diff3\.smartadserver\.com|diff\.smartadserver\.com|eqx\.smartadserver\.com|gallery\.smartadserver\.com|im2\.smartadserver\.com|insight\.adsrvr\.org|itx5-publicidad\.smartadserver\.com|itx5\.smartadserver\.com|js\.adsrvr\.org|match\.adsrvr\.org|preview\.smartadserver\.com|rtb-csync\.smartadserver\.com|saspreview\.com|smartadserver\.com|smartadserver\.ru|tmk\.smartadserver\.com|usw\-lax\.adsrvr\.org,http://smartadserver.com/,exodus,com.smartadserver.
SmartLook,com.smartlook.sdk.smartlook,Location|Profiling,smartlook\.com,https://www.smartlook.com/,exodus,com.smartlook.sdk.smartlook.
Snap Ad Kit,com.snap.adkit,Advertisement,,https://kit.snapchat.com/docs/ad-kit,exodus,com.snap.adkit|com.snap.appadskit
Snap Ad Kit,com.snap.appadskit,Advertisement,,https://kit.snapchat.com/docs/ad-kit,exodus,com.snap.adkit|com.snap.appadskit
Snapchat Login Kit,com.snapchat.kit.sdk.snaplogin,Identification,,https://kit.snapchat.com/docs/login-kit,exodus,com.snapchat.kit.sdk.SnapLogin
Snowplow,com.snowplowanalytics,Analytics,,https://snowplowanalytics.com/,exodus,com.snowplowanalytics.
Solar2D (Corona),com.ansca.corona,Advertisement|Analytics,,https://solar2d.com/,exodus,com.ansca.corona
Soomla,com.soomla,,soom\.la,https://soomla.com/,exodus,com.soomla.
Split,io.split.android,Analytics,event.split.io|sdk.split.io,https://www.split.io/,exodus,io.split.android.
Splunk MINT,com.splunk.mint,Analytics,,https://mint.splunk.com/,exodus,com.splunk.mint
Square Metrics,com.beaconinside.proximitysdk.proximityservice,,api\.beaconinside\.com,https://www.squaremetrics.com,exodus,com.beaconinside.proximitysdk.ProximityService
Startapp,com.startapp,Advertisement|Analytics,c2i\.startappnetwork\.com|c2s\.startappnetwork\.com|click\.startappservice\.com|dts\.startappservice\.com|events\.startappservice\.com|images\.startappservice\.com|imp\.startappservice\.com|info\.static\.startappservice\.com|init\.startappservice\.com|req\.startappservice\.com|soda\.startappservice\.com|startappservice\.com|va\.origin\.startappservice\.com,https://www.startapp.com,exodus,com.startapp.
SuperAwesome,tv.superawesome.lib,Advertisement,,https://www.superawesome.com/,exodus,tv.superawesome.sdk|tv.superawesome.lib.
SuperAwesome,tv.superawesome.sdk,Advertisement,,https://www.superawesome.com/,exodus,tv.superawesome.sdk|tv.superawesome.lib.
Supersonic Ads,com.supersonic.adapters.supersonicads,,click-haproxy\.supersonicads\.com|cx\.ssacdn\.com|init\.supersonicads\.com|logs\.supersonic\.com|outcome\.supersonicads\.com|ow-gateway\.supersonicads\.com|pixel-tracking\.sonic-us\.supersonicads\.com|rv-gateway\.supersonicads\.com|static\.ssacdn\.com|supersonic\.com|supersonicads-a\.akamaihd\.net|tag\-mediation.supersonic.com|ua\.supersonicads\.com|v\.ssacdn\.com|www\.supersonicads\.com,https://www.supersonic.com/,exodus,com.supersonic.adapters.supersonicads|com.supersonicads.sdk
Supersonic Ads,com.supersonicads.sdk,,click-haproxy\.supersonicads\.com|cx\.ssacdn\.com|init\.supersonicads\.com|logs\.supersonic\.com|outcome\.supersonicads\.com|ow-gateway\.supersonicads\.com|pixel-tracking\.sonic-us\.supersonicads\.com|rv-gateway\.supersonicads\.com|static\.ssacdn\.com|supersonic\.com|supersonicads-a\.akamaihd\.net|tag\-mediation.supersonic.com|ua\.supersonicads\.com|v\.ssacdn\.com|www\.supersonicads\.com,https://www.supersonic.com/,exodus,com.supersonic.adapters.supersonicads|com.supersonicads.sdk
Swirl,com.swirl,,cdn-api\.swirl\.com,http://swirl.com/,exodus,com.swirl
Swrve,com.swrve.sdk,Location|Profiling|Analytics,api\.swrve\.com|content\.swrve\.com,https://www.swrve.com/,exodus,com.swrve.sdk
Sync2Ad,com.visiware.sync2ad.dmp,Analytics,sync2ad\.com,https://www.sync2ad.com/,exodus,com.visiware.sync2ad.dmp.
Synerise,com.synerise.sdk,Advertisement|Identification|Profiling,synerise\.com,https://synerise.com,exodus,com.synerise.sdk
TNK Factory,com.tnkfactory.ad,Advertisement,,http://www.tnkfactory.com,exodus,com.tnkfactory.ad
Taboola,com.taboola,,taboola\.com,https://www.taboola.com/,exodus,com.taboola.
TagCommander (Commanders Act.),com.tagcommander,Analytics,\.commander1\.com|\.tagcommander.com,https://www.commandersact.com/,exodus,com.tagcommander.
TalkingData,com.apptalkingdata.push,Advertisement|Analytics,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/,exodus,com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.
TalkingData,com.gametalkingdata.push,Advertisement|Analytics,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/,exodus,com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.
TalkingData,com.talkingdata.adtracking,Advertisement|Analytics,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/,exodus,com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.
TalkingData,com.talkingdata.appanalytics,Advertisement|Analytics,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/,exodus,com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.
TalkingData,com.talkingdata.sdk,Advertisement|Analytics,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/,exodus,com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.
TalkingData,com.tendcloud.appcpa,Advertisement|Analytics,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/,exodus,com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.
TalkingData,com.tendcloud.tenddata,Advertisement|Analytics,account\.talkingdata\.com|av1\.xdrig\.com|cloud\.xdrig\.com|m\.talkingdata\.com|push\.xdrig\.com,https://www.talkingdata.com/,exodus,com.talkingdata.sdk.|com.tendcloud.tenddata.|com.talkingdata.appanalytics.|com.talkingdata.adtracking.|com.tendcloud.appcpa.|com.apptalkingdata.push.|com.gametalkingdata.push.
Tamoco,com.tamoco.sdk,Analytics|Location,evt\.tamoco\.com,https://www.tamoco.com/,exodus,com.tamoco.sdk
TapResearch,com.tapr.helpers,Profiling|Analytics,,https://www.tapresearch.com/,exodus,com.tapr.sdk.|com.tapr.internal.|com.tapr.helpers.
TapResearch,com.tapr.internal,Profiling|Analytics,,https://www.tapresearch.com/,exodus,com.tapr.sdk.|com.tapr.internal.|com.tapr.helpers.
TapResearch,com.tapr.sdk,Profiling|Analytics,,https://www.tapresearch.com/,exodus,com.tapr.sdk.|com.tapr.internal.|com.tapr.helpers.
Tapdaq,com.tapdaq.adapters,Advertisement,ads\.tapdaq\.com,https://www.tapdaq.com/,exodus,com.tapdaq.sdk.|com.tapdaq.adapters.
Tapdaq,com.tapdaq.sdk,Advertisement,ads\.tapdaq\.com,https://www.tapdaq.com/,exodus,com.tapdaq.sdk.|com.tapdaq.adapters.
Tapjoy,com.tapjoy,,tapjoy\.com|tapjoyads\.com|www\.5rocks\.io,https://www.tapjoy.com/,exodus,com.tapjoy.
Taplytics,com.taplytics.sdk,Advertisement|Analytics,api\.taplytics\.com|ping\.tapylitics\.com,https://taplytics.com,exodus,com.taplytics.sdk
Tappx,com.tappx.sdk.android,Advertisement,,https://www.tappx.com/,exodus,com.tappx.sdk.android
Tapstream,com.tapstream.sdk,Analytics,,https://www.tapstream.com/,exodus,com.tapstream.sdk
Teads,teads.tv,Advertisement,teads\.tv,https://www.teads.tv,exodus,tv.teads.|teads.tv.
Teads,tv.teads,Advertisement,teads\.tv,https://www.teads.tv,exodus,tv.teads.|teads.tv.
Tealeaf,com.tl.uic.tealeaf,Analytics,,https://acoustic.co/products/experience-analytics/,exodus,com.tl.uic.Tealeaf
Tealium,.tealium,Analytics,tealiumiq\.com|tiqcdn\.com,https://tealium.com/,exodus,.tealium.
Teemo,com.databerries,Analytics,databerries\.com,https://www.teemo.co,exodus,com.databerries.|com.geolocstation.
Teemo,com.geolocstation,Analytics,databerries\.com,https://www.teemo.co,exodus,com.databerries.|com.geolocstation.
TeleQuid,com.telequid,,mars\.telequid\.com,http://www.telequid.com/,exodus,com.telequid.
Tencent MTA,com.tencent.mta,Analytics,,https://mta.qq.com/,exodus,com.tencent.mta
Tencent Map LBS,com.tencent.lbs,,,https://lbs.qq.com/,exodus,com.tencent.lbs
Tencent MobWin,com.tencent.mobwin,,,https://www.tencent.com/en-us/,exodus,com.tencent.mobwin
Tencent Stats,com.tencent.stat,Analytics,,http://stat.qq.com/,exodus,com.tencent.stat|com.tencent.wxop.stat
Tencent Stats,com.tencent.wxop.stat,Analytics,,http://stat.qq.com/,exodus,com.tencent.stat|com.tencent.wxop.stat
Tencent Weiyun,com.tencent.weiyun,,,https://www.weiyun.com,exodus,com.tencent.weiyun
Tenjin,com.tenjin.android,Analytics,,https://www.tenjin.com/,exodus,com.tenjin.android.
ThinkingData Analytics,cn.thinkingdata,Identification|Analytics,,http://www.thinkingdata.cn/,exodus,cn.thinkingdata.
Tinder Analytics,com.tinder.ads,Analytics,etl\.tindersparks\.com,http://tinder.com,exodus,com.tinder.analytics|com.tinder.ads
Tinder Analytics,com.tinder.analytics,Analytics,etl\.tindersparks\.com,http://tinder.com,exodus,com.tinder.analytics|com.tinder.ads
Treasure Data,com.treasuredata,Profiling|Analytics,,https://www.treasuredata.com/product/,exodus,com.treasuredata
Tune,com.mobileapptracker,Analytics,mobileapptracking\.com,https://www.tune.com,exodus,com.tune|com.mobileapptracker
Tune,com.tune,Analytics,mobileapptracking\.com,https://www.tune.com,exodus,com.tune|com.mobileapptracker
Tutela,com.tutelatechnologies.sdk,,,https://www.tutela.com/,exodus,com.tutelatechnologies.sdk
Tutucloud,org.lasque.tusdk.core,,tusdk\.com,https://tutucloud.com,exodus,org.lasque.tusdk.core|org.lasque.tusdkpulse.core
Tutucloud,org.lasque.tusdkpulse.core,,tusdk\.com,https://tutucloud.com,exodus,org.lasque.tusdk.core|org.lasque.tusdkpulse.core
Twine Data,com.twine.sdk,,,https://www.truedata.co/,exodus,com.twine.sdk
Twitter MoPub,com.mopub,Advertisement|Analytics,mopub\.com,https://www.mopub.com/,exodus,com.mopub.
UXCam,com.uxcam,Profiling|Analytics,verify.uxcam.com,https://uxcam.com/,exodus,com.uxcam.
Uber Analytics,com.ubercab.analytics,Analytics,events\.uber\.com,https://uber.com,exodus,com.ubercab.analytics.|com.ubercab.library.metrics.analytics.|com.ubercab.client.core.analytics.
Uber Analytics,com.ubercab.client.core.analytics,Analytics,events\.uber\.com,https://uber.com,exodus,com.ubercab.analytics.|com.ubercab.library.metrics.analytics.|com.ubercab.client.core.analytics.
Uber Analytics,com.ubercab.library.metrics.analytics,Analytics,events\.uber\.com,https://uber.com,exodus,com.ubercab.analytics.|com.ubercab.library.metrics.analytics.|com.ubercab.client.core.analytics.
Umeng Analytics,com.umeng.analytics,,alog\.umeng\.com|alogs\.umeng\.com|ar\.umeng\.com|oc\.umeng\.com|umeng\.com|uop\.umeng\.com,https://www.umeng.com/analytics,exodus,com.umeng.analytics
Umeng Feedback,com.umeng.fb,,alog\.umeng\.com|alogs\.umeng\.com|ar\.umeng\.com|oc\.umeng\.com|umeng\.com|uop\.umeng\.com,http://dev.umeng.com/feedback,exodus,com.umeng.fb
Unacast Pure,com.pure.internal,Location,,https://www.unacast.com/,exodus,com.pure.internal.|com.pure.sdk.
Unacast Pure,com.pure.sdk,Location,,https://www.unacast.com/,exodus,com.pure.internal.|com.pure.sdk.
Unity3d Ads,com.unity3d.ads,Advertisement,adserver\.unityads\.unity3d\.com|analytics\.social\.unity\.com|api\.uca\.cloud\.unity3d\.com|auction\.unityads\.unity3d\.com|cdn-highwinds\.unityads\.unity3d\.com|cdn\.unityads\.unity3d\.com|config\.uca\.cloud\.unity3d\.com|config\.unityads\.unity3d\.com|stats\.unity3d\.com|webview\.unityads\.unity3d\.com,https://unity3d.com/,exodus,com.unity3d.services|com.unity3d.ads
Unity3d Ads,com.unity3d.services,Advertisement,adserver\.unityads\.unity3d\.com|analytics\.social\.unity\.com|api\.uca\.cloud\.unity3d\.com|auction\.unityads\.unity3d\.com|cdn-highwinds\.unityads\.unity3d\.com|cdn\.unityads\.unity3d\.com|config\.uca\.cloud\.unity3d\.com|config\.unityads\.unity3d\.com|stats\.unity3d\.com|webview\.unityads\.unity3d\.com,https://unity3d.com/,exodus,com.unity3d.services|com.unity3d.ads
Upsight,com.upsight.android,Advertisement|Profiling|Analytics,,https://www.upsight.com/,exodus,com.upsight.android
Urbanairship,com.urbanairship,,device-api\.urbanairship\.com|urbanairship\.com|device-api\.asnapieu\.com,https://www.urbanairship.com/,exodus,com.urbanairship
UserExperior,com.userexperior,Location|Profiling|Analytics|Crash reporting,,https://www.userexperior.com/,exodus,com.userexperior
VKontakte SDK,com.vk.api.sdk,Identification,,https://vksdk.github.io/vk-sdk-android/,exodus,com.vk.sdk.|com.vk.api.sdk.
VKontakte SDK,com.vk.sdk,Identification,,https://vksdk.github.io/vk-sdk-android/,exodus,com.vk.sdk.|com.vk.api.sdk.
Vdopia,com.vdopia.ads,Advertisement,,https://chocolateplatform.com/,exodus,com.vdopia.client.android.|com.vdopia.ads.
Vdopia,com.vdopia.client.android,Advertisement,,https://chocolateplatform.com/,exodus,com.vdopia.client.android.|com.vdopia.ads.
Vectaury,io.vectaury,Location|Profiling|Analytics,vectaury\.io,http://vectaury.io/,exodus,io.vectaury.
Veloxity,net.veloxity,Advertisement,,http://www.veloxity.net/,exodus,net.veloxity.
Verizon Ads,com.oath.mobile,Location|Advertisement|Identification|Profiling|Analytics,,https://www.verizonmedia.com/,exodus,com.verizon.ads|com.verizondigitalmedia.mobile.|com.oath.mobile.
Verizon Ads,com.verizon.ads,Location|Advertisement|Identification|Profiling|Analytics,,https://www.verizonmedia.com/,exodus,com.verizon.ads|com.verizondigitalmedia.mobile.|com.oath.mobile.
Verizon Ads,com.verizondigitalmedia.mobile,Location|Advertisement|Identification|Profiling|Analytics,,https://www.verizonmedia.com/,exodus,com.verizon.ads|com.verizondigitalmedia.mobile.|com.oath.mobile.
Verve,com.vervewireless.advert,Advertisement,,https://www.verve.com,exodus,com.vervewireless.advert.
Virgo Mobile,com.virgo.ads,Advertisement,,http://virgomobile.com/,exodus,com.virgo.ads.
Vpon,com.vpadn.ads,Advertisement|Profiling|Analytics,,https://www.vpon.com/,exodus,com.vpon.ads|com.vpadn.analytics|com.vpadn.ads.|com.vpadn.widget.
Vpon,com.vpadn.analytics,Advertisement|Profiling|Analytics,,https://www.vpon.com/,exodus,com.vpon.ads|com.vpadn.analytics|com.vpadn.ads.|com.vpadn.widget.
Vpon,com.vpadn.widget,Advertisement|Profiling|Analytics,,https://www.vpon.com/,exodus,com.vpon.ads|com.vpadn.analytics|com.vpadn.ads.|com.vpadn.widget.
Vpon,com.vpon.ads,Advertisement|Profiling|Analytics,,https://www.vpon.com/,exodus,com.vpon.ads|com.vpadn.analytics|com.vpadn.ads.|com.vpadn.widget.
Vungle,com.vungle.publisher,Advertisement,ads\.api\.vungle\.com|akamai\.vungle\-cdn\.vungle\.com|api\.vungle\.akadns\.net|api\.vungle\.com|bd\.vungle\.com|billboard\.vungle\.com|cdn\-lb\.vungle\.com|ci\.vungle\.com|data\.vungle\.com|ingest\.vungle\.com|jaeger\.vungle\.com|ltv\-data\-api\.kube\-prod\.vungle\.com|monitoring\.vungle\.com|ssl\.vungle\.com|v\.vungle\.com,https://vungle.com,exodus,com.vungle.publisher.|com.vungle.warren.
Vungle,com.vungle.warren,Advertisement,ads\.api\.vungle\.com|akamai\.vungle\-cdn\.vungle\.com|api\.vungle\.akadns\.net|api\.vungle\.com|bd\.vungle\.com|billboard\.vungle\.com|cdn\-lb\.vungle\.com|ci\.vungle\.com|data\.vungle\.com|ingest\.vungle\.com|jaeger\.vungle\.com|ltv\-data\-api\.kube\-prod\.vungle\.com|monitoring\.vungle\.com|ssl\.vungle\.com|v\.vungle\.com,https://vungle.com,exodus,com.vungle.publisher.|com.vungle.warren.
WeChat Location,com.tencent.map.geolocation,,map\.qq\.com,https://wechat.com,exodus,com.tencent.map.geolocation|com.tencent.mm.plugin.location.|com.tencent.mm.plugin.location_soso.|com.tencent.mm.plugin.location_google
WeChat Location,com.tencent.mm.plugin.location,,map\.qq\.com,https://wechat.com,exodus,com.tencent.map.geolocation|com.tencent.mm.plugin.location.|com.tencent.mm.plugin.location_soso.|com.tencent.mm.plugin.location_google
WeChat Location,com.tencent.mm.plugin.location_google,,map\.qq\.com,https://wechat.com,exodus,com.tencent.map.geolocation|com.tencent.mm.plugin.location.|com.tencent.mm.plugin.location_soso.|com.tencent.mm.plugin.location_google
WeChat Location,com.tencent.mm.plugin.location_soso,,map\.qq\.com,https://wechat.com,exodus,com.tencent.map.geolocation|com.tencent.mm.plugin.location.|com.tencent.mm.plugin.location_soso.|com.tencent.mm.plugin.location_google
Weborama,com.weborama,Analytics,weborama\.fr|weborama\.net,https://www.weborama.com,exodus,com.weborama.
Webtrekk,com.webtrekk.webtrekksdk,Analytics,,https://www.webtrekk.com/,exodus,com.webtrekk.webtrekksdk
Webtrends,com.webtrends.mobile.analytics,Analytics,dc\.webtrends\.com|webtrends\.com,https://www.webtrends.com/,exodus,com.webtrends.mobile.analytics.|com.webtrends.mobile.android
Webtrends,com.webtrends.mobile.android,Analytics,dc\.webtrends\.com|webtrends\.com,https://www.webtrends.com/,exodus,com.webtrends.mobile.analytics.|com.webtrends.mobile.android
Widespace,com.widespace,,widespace\.com,http://widespace.com,exodus,com.widespace.
Wootric,com.wootric.androidsdk,Analytics,.wootric\.com\.herokudns\.com|wootric\.com,http://wootric.com,exodus,com.wootric.androidsdk.
X-Mode,io.mysdk,Location|Analytics,api\.myendpoint\.io|bin5y4muil\.execute-api\.us-east-1\.amazonaws\.com|api\.smartechmetrics\.com,https://xmode.io/,exodus,io.xmode.BcnConfig|io.xmode.locationsdk|io.mysdk.
X-Mode,io.xmode.bcnconfig,Location|Analytics,api\.myendpoint\.io|bin5y4muil\.execute-api\.us-east-1\.amazonaws\.com|api\.smartechmetrics\.com,https://xmode.io/,exodus,io.xmode.BcnConfig|io.xmode.locationsdk|io.mysdk.
X-Mode,io.xmode.locationsdk,Location|Analytics,api\.myendpoint\.io|bin5y4muil\.execute-api\.us-east-1\.amazonaws\.com|api\.smartechmetrics\.com,https://xmode.io/,exodus,io.xmode.BcnConfig|io.xmode.locationsdk|io.mysdk.
YOC VIS.X,com.yoc.visx,Advertisement,yoc-performance\.com|yoc\.com,https://yoc.com,exodus,com.yoc.visx
Yandex Ad,com.yandex.mobile.ads,Advertisement,analytics\.mobile\.yandex\.net|appmetrica\.yandex\.com|banners-slb\.mobile\.yandex\.net|banners\.mobile\.yandex\.net|mc\.yandex\.ru|report\.appmetrica\.yandex\.net|startup\.mobile\.yandex\.net,https://www.yandex.com/,exodus,com.yandex.mobile.ads
Yinzcam Sobek,com.yinzcam.sobek,Location|Advertisement|Analytics,analytics\.yinzcam\.com,http://www.yinzcam.com/,exodus,com.yinzcam.sobek
Yoadx,com.yoadx.yoadx,Advertisement,,https://yoadx.com/,exodus,com.yoadx.yoadx.
YouAppi,com.youappi.sdk,,,https://www.youappi.com,exodus,com.youappi.sdk.
YuMe,com.yume.android,Advertisement,,https://www.appbrain.com/stats/libraries/details/yume/yume,exodus,com.yume.android
Yueying Crash SDK,com.uc.crashsdk,Analytics|Crash reporting,,https://yueying-docs.effirst.com/,exodus,com.uc.crashsdk|com.uc2.crashsdk
Yueying Crash SDK,com.uc2.crashsdk,Analytics|Crash reporting,,https://yueying-docs.effirst.com/,exodus,com.uc.crashsdk|com.uc2.crashsdk
Zapr,com.redbricklane.zapr,Location|Advertisement|Analytics,.zapr\.in,https://www.zapr.in/,exodus,com.redbricklane.zapr
Zendrive,com.zendrive.sdk,Location|Profiling|Analytics,,https://www.zendrive.com/,exodus,com.zendrive.sdk.
Zoho Analytics,com.zoho.zanalytics,Analytics,,http://analytics.zoho.com/,exodus,com.zoho.zanalytics.
adPOPcorn,com.igaworks.adpopcorn,Advertisement,,https://adpopcorn.com/,exodus,com.igaworks.adpopcorn|com.igaworks.ssp.
adPOPcorn,com.igaworks.ssp,Advertisement,,https://adpopcorn.com/,exodus,com.igaworks.adpopcorn|com.igaworks.ssp.
deltaDNA,com.deltadna,Analytics,deltadna\.net,https://deltadna.com/,exodus,com.deltadna
fineboost,com.fineboost,Advertisement|Analytics,,http://www.yifants.cn/,exodus,com.fineboost.
flymob,com.flymob.sdk,,,https://flymob.com/,exodus,com.flymob.sdk.
fullstory,com.fullstory.fs,Analytics,,https://www.fullstory.com/,exodus,com.fullstory.instrumentation.|com.fullstory.util.|com.fullstory.jni.|com.fullstory.FS|com.fullstory.rust.|com.fullstory.FSSessionData
fullstory,com.fullstory.fssessiondata,Analytics,,https://www.fullstory.com/,exodus,com.fullstory.instrumentation.|com.fullstory.util.|com.fullstory.jni.|com.fullstory.FS|com.fullstory.rust.|com.fullstory.FSSessionData
fullstory,com.fullstory.instrumentation,Analytics,,https://www.fullstory.com/,exodus,com.fullstory.instrumentation.|com.fullstory.util.|com.fullstory.jni.|com.fullstory.FS|com.fullstory.rust.|com.fullstory.FSSessionData
fullstory,com.fullstory.jni,Analytics,,https://www.fullstory.com/,exodus,com.fullstory.instrumentation.|com.fullstory.util.|com.fullstory.jni.|com.fullstory.FS|com.fullstory.rust.|com.fullstory.FSSessionData
fullstory,com.fullstory.rust,Analytics,,https://www.fullstory.com/,exodus,com.fullstory.instrumentation.|com.fullstory.util.|com.fullstory.jni.|com.fullstory.FS|com.fullstory.rust.|com.fullstory.FSSessionData
fullstory,com.fullstory.util,Analytics,,https://www.fullstory.com/,exodus,com.fullstory.instrumentation.|com.fullstory.util.|com.fullstory.jni.|com.fullstory.FS|com.fullstory.rust.|com.fullstory.FSSessionData
ironSource,com.ironsource,Analytics,,https://www.ironsrc.com,exodus,com.ironsource.
mParticle,com.mparticle,Analytics,mparticle\.com,http://mparticle.com,exodus,com.mparticle
maio by i-mobile,jp.maio.sdk,,,https://adpf-info.i-mobile.co.jp/en/,exodus,jp.maio.sdk.
mediba,com.mediba.jp,Advertisement,,https://www.mediba.jp,exodus,com.mediba.jp|mediba.ad.sdk.android.openx
mediba,mediba.ad.sdk.android.openx,Advertisement,,https://www.mediba.jp,exodus,com.mediba.jp|mediba.ad.sdk.android.openx
myTarget,com.my.target,Advertisement,.target\.my\.com,https://target.my.com/,exodus,com.my.target.
myTracker,com.my.tracker,,tracker-api\.my\.com,https://tracker.my.com/,exodus,com.my.tracker.
nend,net.nend.android,Advertisement,,https://nend.net/en/,exodus,net.nend.android|net.nend.unity.
nend,net.nend.unity,Advertisement,,https://nend.net/en/,exodus,net.nend.android|net.nend.unity.
