permission,count,suggested_category,confidence,reason
android.permission.INTERACT_ACROSS_USERS_FULL,297,Unknown,Low,No matching heuristics
android.permission.BLUETOOTH,193,Bluetooth,High,Contains BLUETOOTH keyword
android.permission.CONNECTIVITY_INTERNAL,153,Unknown,Low,No matching heuristics
android.permission.MODIFY_PHONE_STATE,132,Device Identifiers,High,Contains device identity keywords
android.permission.READ_PRIVILEGED_PHONE_STATE,101,Device Identifiers,High,Contains device identity keywords
android.permission.UPDATE_DEVICE_STATS,94,Unknown,Low,No matching heuristics
ti.permission.FMRX_ADMIN,94,Unknown,Low,No matching heuristics
android.permission.BACKUP,74,Unknown,Low,No matching heuristics
android.permission.BLUETOOTH_ADMIN,73,Bluetooth,High,Contains BLUETOOTH keyword
android.permission.CHANGE_WIFI_STATE,52,Connectivity,Low,Contains network keywords
android.permission.ACCESS_WIFI_STATE,50,Connectivity,Low,Contains network keywords
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN",46,Bluetooth,High,Contains BLUETOOTH keyword
android.permission.WRITE_SECURE_SETTINGS,40,Unknown,Low,No matching heuristics
android.permission.NFC,36,Unknown,Low,No matching heuristics
android.permission.INTERACT_ACROSS_USERS,36,Unknown,Low,No matching heuristics
android.permission.DEVICE_POWER,35,Unknown,Low,No matching heuristics
android.permission.STATUS_BAR_SERVICE,34,Unknown,Low,No matching heuristics
android.permission.HDMI_CEC,33,Unknown,Low,No matching heuristics
android.permission.BIND_APPWIDGET,25,Unknown,Low,No matching heuristics
android.permission.MANAGE_APP_TOKENS,25,Unknown,Low,No matching heuristics
android.permission.STATUS_BAR,23,Unknown,Low,No matching heuristics
android.permission.MANAGE_ACTIVITY_STACKS,23,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",21,Unknown,Low,No matching heuristics
android.permission.MANAGE_NETWORK_POLICY,20,Connectivity,Low,Contains network keywords
android.permission.ACCESS_KEYGUARD_SECURE_STORAGE,20,Storage,Medium,Contains storage related keywords
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION",19,Location,High,Contains LOCATION keyword
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,17,Unknown,Low,No matching heuristics
android.permission.BLUETOOTH_PRIVILEGED,17,Bluetooth,High,Contains BLUETOOTH keyword
android.permission.AUTHENTICATE_ACCOUNTS,16,Accounts,High,Contains ACCOUNT keyword
android.permission.BROADCAST_STICKY,16,Unknown,Low,No matching heuristics
android.permission.MANAGE_USB,16,Unknown,Low,No matching heuristics
android.permission.CONFIGURE_WIFI_DISPLAY,15,Connectivity,Low,Contains network keywords
android.permission.LOCATION_HARDWARE,15,Location,High,Contains LOCATION keyword
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS",15,Unknown,Low,No matching heuristics
"android.permission.BIND_DEVICE_ADMIN, android.permission.INTERACT_ACROSS_USERS_FULL",14,Unknown,Low,No matching heuristics
android.permission.STORAGE_INTERNAL,14,Storage,Medium,Contains storage related keywords
android.permission.MANAGE_ACCOUNTS,13,Accounts,High,Contains ACCOUNT keyword
android.permission.MODIFY_AUDIO_SETTINGS,13,Microphone,Medium,Contains audio recording keywords
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",13,Connectivity,Low,Contains network keywords
"android.permission.RECEIVE_SMS, android.permission.SEND_SMS",12,SMS,High,Contains SMS keyword
android.permission.WAKE_LOCK,12,Unknown,Low,No matching heuristics
android.permission.SET_DEBUG_APP,12,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL",11,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_USERS",11,Unknown,Low,No matching heuristics
android.permission.ACCOUNT_MANAGER,10,Accounts,High,Contains ACCOUNT keyword
android.permission.WRITE_SYNC_SETTINGS,10,Unknown,Low,No matching heuristics
android.permission.SET_ACTIVITY_WATCHER,10,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.WRITE_SECURE_SETTINGS",10,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE, android.permission.SEND_SMS, android.permission.UPDATE_APP_OPS_STATS",10,SMS,High,Contains SMS keyword
android.permission.EXPAND_STATUS_BAR,9,Unknown,Low,No matching heuristics
android.permission.CHANGE_WIFI_MULTICAST_STATE,9,Connectivity,Low,Contains network keywords
android.permission.USE_SIP,9,Unknown,Low,No matching heuristics
android.permission.START_ANY_ACTIVITY,9,Unknown,Low,No matching heuristics
android.permission.UPDATE_APP_OPS_STATS,9,Unknown,Low,No matching heuristics
android.permission.WRITE_SMS,9,SMS,High,Contains SMS keyword
android.permission.TV_INPUT_HARDWARE,9,Unknown,Low,No matching heuristics
android.permission.ACCESS_VOICE_INTERACTION_SERVICE,9,Unknown,Low,No matching heuristics
android.permission.READ_SYNC_STATS,8,Unknown,Low,No matching heuristics
android.permission.READ_SYNC_SETTINGS,8,Unknown,Low,No matching heuristics
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE",8,Connectivity,Low,Contains network keywords
android.permission.ACCESS_MOCK_LOCATION,8,Location,High,Contains LOCATION keyword
android.permission.REBOOT,8,Unknown,Low,No matching heuristics
android.permission.PACKAGE_USAGE_STATS,8,Unknown,Low,No matching heuristics
android.permission.WRITE_DREAM_STATE,8,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.UPDATE_DEVICE_STATS",8,Unknown,Low,No matching heuristics
com.android.voicemail.permission.ADD_VOICEMAIL,7,Unknown,Low,No matching heuristics
"android.permission.UPDATE_DEVICE_STATS, android.permission.WAKE_LOCK",7,Unknown,Low,No matching heuristics
android.permission.DUMP,7,Unknown,Low,No matching heuristics
android.permission.RETRIEVE_WINDOW_INFO,7,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP, android.permission.UPDATE_DEVICE_STATS",7,Unknown,Low,No matching heuristics
android.permission.MANAGE_FINGERPRINT,7,Unknown,Low,No matching heuristics
"android.permission.READ_EXTERNAL_STORAGE, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",7,SMS,High,Contains SMS keyword
"android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",6,Connectivity,Low,Contains network keywords
android.permission.CHANGE_NETWORK_STATE,6,Connectivity,Low,Contains network keywords
android.permission.BIND_DEVICE_ADMIN,6,Unknown,Low,No matching heuristics
android.permission.MOUNT_FORMAT_FILESYSTEMS,6,Unknown,Low,No matching heuristics
android.permission.READ_FRAME_BUFFER,6,Unknown,Low,No matching heuristics
android.permission.BATTERY_STATS,6,Unknown,Low,No matching heuristics
android.permission.SET_PREFERRED_APPLICATIONS,6,Unknown,Low,No matching heuristics
android.permission.READ_DREAM_STATE,6,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS",6,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.STATUS_BAR",6,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL, com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS",6,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION, android.permission.UPDATE_APP_OPS_STATS",6,SMS,High,Contains SMS keyword
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_STATS",6,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_SETTINGS",6,Unknown,Low,No matching heuristics
com.android.printspooler.permission.ACCESS_ALL_PRINT_JOBS,6,Unknown,Low,No matching heuristics
android.permission.CRYPT_KEEPER,5,Unknown,Low,No matching heuristics
android.permission.READ_NETWORK_USAGE_HISTORY,5,Connectivity,Low,Contains network keywords
android.permission.INSTALL_PACKAGES,5,Unknown,Low,No matching heuristics
android.permission.DISABLE_KEYGUARD,5,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",5,SMS,High,Contains SMS keyword
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SET_PREFERRED_APPLICATIONS",5,Unknown,Low,No matching heuristics
android.permission.MANAGE_USERS,5,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",5,Connectivity,Low,Contains network keywords
"android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",5,Unknown,Low,No matching heuristics
android.permission.MANAGE_MEDIA_PROJECTION,5,Unknown,Low,No matching heuristics
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY",5,Connectivity,Low,Contains network keywords
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_PRIVILEGED",5,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.MODIFY_PHONE_STATE, android.permission.READ_PHONE_STATE",5,Device Identifiers,High,Contains device identity keywords
"android.permission.ACCESS_KEYGUARD_SECURE_STORAGE, android.permission.READ_CONTACTS",5,Contacts,High,Contains CONTACT keyword
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS",5,Unknown,Low,No matching heuristics
android.permission.MANAGE_SOUND_TRIGGER,5,Unknown,Low,No matching heuristics
android.permission.CALL_PRIVILEGED,4,Call Logs,Low,Contains CALL keyword
android.permission.CONTROL_LOCATION_UPDATES,4,Location,High,Contains LOCATION keyword
android.permission.WRITE_PROFILE,4,Unknown,Low,No matching heuristics
android.permission.ACCESS_DRM,4,Unknown,Low,No matching heuristics
android.permission.MODIFY_APPWIDGET_BIND_PERMISSIONS,4,Unknown,Low,No matching heuristics
android.permission.ASEC_CREATE,4,Unknown,Low,No matching heuristics
android.permission.ASEC_ACCESS,4,Unknown,Low,No matching heuristics
android.permission.SET_KEYBOARD_LAYOUT,4,Unknown,Low,No matching heuristics
ti.permission.FMRX,4,Unknown,Low,No matching heuristics
"android.permission.CHANGE_COMPONENT_ENABLED_STATE, android.permission.INTERACT_ACROSS_USERS_FULL",4,Unknown,Low,No matching heuristics
android.permission.MAGNIFY_DISPLAY,4,Unknown,Low,No matching heuristics
android.permission.GET_TOP_ACTIVITY_INFO,4,Unknown,Low,No matching heuristics
android.permission.MEDIA_CONTENT_CONTROL,4,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.STATUS_BAR, android.permission.WRITE_SECURE_SETTINGS",4,Unknown,Low,No matching heuristics
"android.permission.CHANGE_WIFI_STATE, android.permission.UPDATE_DEVICE_STATS",4,Connectivity,Low,Contains network keywords
android.permission.MODIFY_AUDIO_ROUTING,4,Microphone,Medium,Contains audio recording keywords
"android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",4,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",4,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.WRITE_SYNC_SETTINGS",4,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_CA_CERTIFICATES",4,Unknown,Low,No matching heuristics
android.permission.MODIFY_PARENTAL_CONTROLS,4,Unknown,Low,No matching heuristics
"android.permission.RECEIVE_SMS, android.permission.SEND_SMS, android.permission.UPDATE_APP_OPS_STATS",4,SMS,High,Contains SMS keyword
android.permission.CONTROL_VPN,4,Unknown,Low,No matching heuristics
"android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",4,Unknown,Low,No matching heuristics
android.permission.USE_FINGERPRINT,4,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.TETHER_PRIVILEGED",4,Connectivity,Low,Contains network keywords
android.permission.RECOVERY,4,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",4,Unknown,Low,No matching heuristics
android.permission.CALL_PHONE,3,Call Logs,Low,Contains CALL keyword
android.permission.READ_SOCIAL_STREAM,3,Unknown,Low,No matching heuristics
"android.permission.READ_SOCIAL_STREAM, android.permission.WRITE_SOCIAL_STREAM",3,Unknown,Low,No matching heuristics
android.permission.ACCESS_ALL_DOWNLOADS,3,Unknown,Low,No matching heuristics
android.permission.WRITE_APN_SETTINGS,3,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE",3,Connectivity,Low,Contains network keywords
android.permission.SHUTDOWN,3,Unknown,Low,No matching heuristics
android.permission.WRITE_SETTINGS,3,Unknown,Low,No matching heuristics
android.permission.VIBRATE,3,Unknown,Low,No matching heuristics
android.permission.SET_WALLPAPER_HINTS,3,Unknown,Low,No matching heuristics
android.permission.SET_WALLPAPER,3,Unknown,Low,No matching heuristics
android.permission.SET_WALLPAPER_COMPONENT,3,Unknown,Low,No matching heuristics
android.permission.FORCE_STOP_PACKAGES,3,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY",3,Unknown,Low,No matching heuristics
android.permission.REORDER_TASKS,3,Unknown,Low,No matching heuristics
android.permission.REMOVE_TASKS,3,Unknown,Low,No matching heuristics
android.permission.SET_SCREEN_COMPATIBILITY,3,Unknown,Low,No matching heuristics
android.permission.MODIFY_NETWORK_ACCOUNTING,3,Accounts,High,Contains ACCOUNT keyword
android.permission.DELETE_PACKAGES,3,Unknown,Low,No matching heuristics
android.permission.PACKAGE_VERIFICATION_AGENT,3,Unknown,Low,No matching heuristics
android.permission.GRANT_REVOKE_PERMISSIONS,3,Unknown,Low,No matching heuristics
android.permission.CHANGE_COMPONENT_ENABLED_STATE,3,Unknown,Low,No matching heuristics
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",3,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY",3,Unknown,Low,No matching heuristics
"android.permission.SEND_SMS, android.permission.SEND_SMS_NO_CONFIRMATION",3,SMS,High,Contains SMS keyword
android.permission.READ_PROFILE,3,Unknown,Low,No matching heuristics
"android.permission.DELETE_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",3,Unknown,Low,No matching heuristics
"android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL",3,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_ACCOUNTS",3,Accounts,High,Contains ACCOUNT keyword
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL",3,Accounts,High,Contains ACCOUNT keyword
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY",3,Unknown,Low,No matching heuristics
android.permission.SET_PROCESS_LIMIT,3,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.INTERNET",3,Connectivity,Low,Contains network keywords
android.permission.SCORE_NETWORKS,3,Connectivity,Low,Contains network keywords
"android.permission.GET_TASKS, android.permission.REAL_GET_TASKS",3,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_DEVICE_STATS",3,Unknown,Low,No matching heuristics
android.permission.MANAGE_VOICE_KEYPHRASES,3,Unknown,Low,No matching heuristics
android.permission.CHANGE_DEVICE_IDLE_TEMP_WHITELIST,3,Device Identifiers,High,Contains device identity keywords
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS",3,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",3,Unknown,Low,No matching heuristics
"android.permission.ACCESS_FINE_LOCATION, android.permission.INTERACT_ACROSS_USERS_FULL",3,Location,High,Contains LOCATION keyword
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",3,Bluetooth,High,Contains BLUETOOTH keyword
android.permission.USE_CREDENTIALS,2,Unknown,Low,No matching heuristics
"android.permission.MANAGE_ACCOUNTS, android.permission.USE_CREDENTIALS",2,Accounts,High,Contains ACCOUNT keyword
android.permission.REMOTE_AUDIO_PLAYBACK,2,Microphone,Medium,Contains audio recording keywords
android.permission.ASEC_MOUNT_UNMOUNT,2,Unknown,Low,No matching heuristics
android.permission.SERIAL_PORT,2,Unknown,Low,No matching heuristics
android.permission.UPDATE_LOCK,2,Unknown,Low,No matching heuristics
android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY,2,Unknown,Low,No matching heuristics
android.permission.GET_TASKS,2,Unknown,Low,No matching heuristics
android.permission.KILL_BACKGROUND_PROCESSES,2,Unknown,Low,No matching heuristics
android.permission.STOP_APP_SWITCHES,2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
android.permission.CHANGE_CONFIGURATION,2,Unknown,Low,No matching heuristics
android.permission.CLEAR_APP_CACHE,2,Unknown,Low,No matching heuristics
android.permission.MOVE_PACKAGE,2,Unknown,Low,No matching heuristics
android.permission.SET_ORIENTATION,2,Unknown,Low,No matching heuristics
android.permission.SET_ANIMATION_SCALE,2,Unknown,Low,No matching heuristics
"ti.permission.FMRX, ti.permission.FMRX_ADMIN",2,Unknown,Low,No matching heuristics
"android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
"android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
"android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
android.permission.FILTER_EVENTS,2,Unknown,Low,No matching heuristics
android.permission.FREEZE_SCREEN,2,Unknown,Low,No matching heuristics
android.permission.GET_APP_OPS_STATS,2,Unknown,Low,No matching heuristics
android.permission.ACCESS_NOTIFICATIONS,2,Unknown,Low,No matching heuristics
"android.permission.UPDATE_APP_OPS_STATS, android.permission.VIBRATE",2,Unknown,Low,No matching heuristics
android.permission.TRANSMIT_IR,2,Unknown,Low,No matching heuristics
android.permission.MANAGE_CA_CERTIFICATES,2,Unknown,Low,No matching heuristics
"android.permission.CAPTURE_SECURE_VIDEO_OUTPUT, android.permission.CAPTURE_VIDEO_OUTPUT",2,Unknown,Low,No matching heuristics
android.permission.CAPTURE_AUDIO_OUTPUT,2,Microphone,Medium,Contains audio recording keywords
"android.permission.MODIFY_AUDIO_SETTINGS, android.permission.MODIFY_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",2,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.BROADCAST_SCORE_NETWORKS, android.permission.SCORE_NETWORKS",2,Connectivity,Low,Contains network keywords
android.permission.BROADCAST_SCORE_NETWORKS,2,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE, android.permission.READ_PRECISE_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Location,High,Contains LOCATION keyword
"android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.CHANGE_CONFIGURATION, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_USERS",2,Unknown,Low,No matching heuristics
android.permission.CAPTURE_TV_INPUT,2,Unknown,Low,No matching heuristics
"android.permission.ACCESS_WIFI_STATE, android.permission.READ_WIFI_CREDENTIAL",2,Connectivity,Low,Contains network keywords
android.permission.FRAME_STATS,2,Unknown,Low,No matching heuristics
"android.permission.RECEIVE_SMS, android.permission.UPDATE_APP_OPS_STATS",2,SMS,High,Contains SMS keyword
"android.permission.BROADCAST_NETWORK_PRIVILEGED, android.permission.SCORE_NETWORKS",2,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_WIFI_STATE, android.permission.INTERACT_ACROSS_USERS_FULL",2,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",2,Connectivity,Low,Contains network keywords
android.permission.KILL_UID,2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
