permission,count,suggested_category,confidence,reason
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.DELETE_PACKAGES, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.PACKAGE_VERIFICATION_AGENT, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS",2,Unknown,Low,No matching heuristics
android.permission.DVB_DEVICE,2,Unknown,Low,No matching heuristics
"android.permission.READ_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
android.permission.GET_PROCESS_STATE_AND_OOM_SCORE,2,Unknown,Low,No matching heuristics
"android.permission.CACHE_CONTENT, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_STATS",2,Accounts,High,Contains ACCOUNT keyword
android.permission.TABLET_MODE,2,Unknown,Low,No matching heuristics
"android.permission.DELETE_CACHE_FILES, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
android.permission.INTERNAL_SYSTEM_WINDOW,2,Unknown,Low,No matching heuristics
android.permission.REGISTER_WINDOW_MANAGER_LISTENERS,2,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONNECTIVITY_USE_RESTRICTED_NETWORKS",2,Connectivity,Low,Contains network keywords
"android.permission.BLUETOOTH, android.permission.WRITE_SECURE_SETTINGS",1,Bluetooth,High,Contains BLUETOOTH keyword
com.android.email.permission.ACCESS_PROVIDER,1,Unknown,Low,No matching heuristics
"android.permission.READ_PROFILE, android.permission.WRITE_PROFILE",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.ACCESS_DOWNLOAD_MANAGER, android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED, android.permission.DOWNLOAD_CACHE_NON_PURGEABLE, android.permission.DOWNLOAD_WITHOUT_NOTIFICATION, android.permission.INTERNET, android.permission.WRITE_EXTERNAL_STORAGE",1,Storage,Medium,Contains storage related keywords
android.permission.INSTALL_DRM,1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.READ_EXTERNAL_STORAGE, android.permission.WRITE_EXTERNAL_STORAGE",1,Storage,Medium,Contains storage related keywords
android.permission.SET_TIME,1,Unknown,Low,No matching heuristics
android.permission.SET_TIME_ZONE,1,Unknown,Low,No matching heuristics
android.permission.READ_LOGS,1,Unknown,Low,No matching heuristics
android.permission.INSTALL_LOCATION_PROVIDER,1,Location,High,Contains LOCATION keyword
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.ACCESS_LOCATION_EXTRA_COMMANDS",1,Location,High,Contains LOCATION keyword
android.permission.ASEC_DESTROY,1,Unknown,Low,No matching heuristics
android.permission.ASEC_RENAME,1,Unknown,Low,No matching heuristics
android.permission.INTERNET,1,Connectivity,Low,Contains network keywords
"android.permission.DEVICE_POWER, android.permission.WAKE_LOCK",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE",1,Location,High,Contains LOCATION keyword
"android.permission.BACKUP, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
android.permission.SET_ALWAYS_FINISH,1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
android.permission.SIGNAL_PERSISTENT_PROCESSES,1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",1,Unknown,Low,No matching heuristics
android.permission.FORCE_BACK,1,Unknown,Low,No matching heuristics
android.permission.SET_POINTER_SPEED,1,Unknown,Low,No matching heuristics
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PHONE_STATE",1,Device Identifiers,High,Contains device identity keywords
android.permission.CLEAR_APP_USER_DATA,1,Unknown,Low,No matching heuristics
android.permission.DELETE_CACHE_FILES,1,Unknown,Low,No matching heuristics
android.permission.GET_PACKAGE_SIZE,1,Unknown,Low,No matching heuristics
android.permission.ACCESS_ALL_EXTERNAL_STORAGE,1,Storage,Medium,Contains storage related keywords
temporaryEnableAccessibilityStateUntilKeyguardRemoved,1,Unknown,Low,No matching heuristics
"android.permission.BACKUP, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.FILTER_EVENTS, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",1,Unknown,Low,No matching heuristics
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_NETWORK_USAGE_HISTORY",1,Connectivity,Low,Contains network keywords
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING, android.permission.READ_NETWORK_USAGE_HISTORY",1,Accounts,High,Contains ACCOUNT keyword
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.MODIFY_NETWORK_ACCOUNTING",1,Accounts,High,Contains ACCOUNT keyword
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MODIFY_NETWORK_ACCOUNTING",1,Accounts,High,Contains ACCOUNT keyword
"android.permission.CLEAR_APP_USER_DATA, android.permission.INTERACT_ACROSS_USERS_FULL",1,Unknown,Low,No matching heuristics
android.permission.MARK_NETWORK_SOCKET,1,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",1,Location,High,Contains LOCATION keyword
"android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
android.permission.RECEIVE_BLUETOOTH_MAP,1,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",1,Bluetooth,High,Contains BLUETOOTH keyword
android.permission.RECEIVE_MMS,1,Unknown,Low,No matching heuristics
getWindowToken,1,Unknown,Low,No matching heuristics
"android.permission.CONFIRM_FULL_BACKUP, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.GET_DETAILED_TASKS, android.permission.GET_TASKS, android.permission.REAL_GET_TASKS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.FILTER_EVENTS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.BROADCAST_STICKY",1,Unknown,Low,No matching heuristics
"android.permission.REMOVE_TASKS, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.DEVICE_POWER, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.GET_APP_OPS_STATS, android.permission.MANAGE_APP_TOKENS, android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.START_TASKS_FROM_RECENTS, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BIND_VOICE_INTERACTION, android.permission.BROADCAST_STICKY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_TOKENS, android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_ACTIVITY_STACKS, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.FORCE_BACK, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
android.permission.SET_INPUT_CALIBRATION,1,Unknown,Low,No matching heuristics
android.permission.RECEIVE_BOOT_COMPLETED,1,Unknown,Low,No matching heuristics
"android.permission.MANAGE_MEDIA_PROJECTION, android.permission.UPDATE_APP_OPS_STATS",1,Unknown,Low,No matching heuristics
"android.permission.REBOOT, android.permission.RECOVERY",1,Unknown,Low,No matching heuristics
"android.permission.MODIFY_PHONE_STATE, com.android.server.telecom.permission.REGISTER_PROVIDER_OR_SUBSCRIPTION",1,Device Identifiers,High,Contains device identity keywords
"android.permission.CHANGE_NETWORK_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",1,Connectivity,Low,Contains network keywords
"android.permission.CHANGE_WIFI_STATE, android.permission.LOCATION_HARDWARE, android.permission.UPDATE_DEVICE_STATS",1,Location,High,Contains LOCATION keyword
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.LOCATION_HARDWARE",1,Location,High,Contains LOCATION keyword
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE, android.permission.UPDATE_APP_OPS_STATS",1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.SEND_RESPOND_VIA_MESSAGE",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONTROL_VPN",1,Connectivity,Low,Contains network keywords
android.permission.BROADCAST_NETWORK_PRIVILEGED,1,Connectivity,Low,Contains network keywords
android.permission.CONFIRM_FULL_BACKUP,1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_DEBUG_APP",1,Unknown,Low,No matching heuristics
android.permission.START_TASKS_FROM_RECENTS,1,Unknown,Low,No matching heuristics
android.permission.BIND_VOICE_INTERACTION,1,Unknown,Low,No matching heuristics
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PHONE_STATE",1,Device Identifiers,High,Contains device identity keywords
"android.permission.MODIFY_PHONE_STATE, android.permission.REGISTER_CONNECTION_MANAGER",1,Device Identifiers,High,Contains device identity keywords
"android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_WIFI_STATE, android.permission.LOCATION_HARDWARE",1,Location,High,Contains LOCATION keyword
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MODIFY_PHONE_STATE",1,Device Identifiers,High,Contains device identity keywords
"android.permission.BLUETOOTH, android.permission.LOCAL_MAC_ADDRESS",1,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",1,Connectivity,Low,Contains network keywords
android.permission.PACKET_KEEPALIVE_OFFLOAD,1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.INSTALL_LOCATION_PROVIDER",1,Location,High,Contains LOCATION keyword
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_PROCESS_LIMIT",1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MODIFY_AUDIO_SETTINGS",1,Microphone,Medium,Contains audio recording keywords
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS",1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.QUERY_DO_NOT_ASK_CREDENTIALS_ON_BOOT",1,Unknown,Low,No matching heuristics
android.permission.NOTIFY_PENDING_SYSTEM_UPDATE,1,Unknown,Low,No matching heuristics
android.permission.CONFIGURE_DISPLAY_COLOR_TRANSFORM,1,Unknown,Low,No matching heuristics
"android.permission.MANAGE_FINGERPRINT, android.permission.USE_FINGERPRINT",1,Unknown,Low,No matching heuristics
android.permission.RESET_FINGERPRINT_LOCKOUT,1,Unknown,Low,No matching heuristics
android.permission.TABLET_MODE_LISTENER,1,Unknown,Low,No matching heuristics
android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS,1,Unknown,Low,No matching heuristics
"android.permission.GET_PACKAGE_SIZE, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",1,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL",1,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MOVE_PACKAGE, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",1,Unknown,Low,No matching heuristics
android.permission.GRANT_RUNTIME_PERMISSIONS,1,Unknown,Low,No matching heuristics
android.permission.INTENT_FILTER_VERIFICATION_AGENT,1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED, android.permission.PEERS_MAC_ADDRESS, android.permission.UPDATE_DEVICE_STATS",1,Location,High,Contains LOCATION keyword
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.TETHER_PRIVILEGED",1,Bluetooth,High,Contains BLUETOOTH keyword
android.car.permission.CAR_RADIO,1,Unknown,Low,No matching heuristics
"android.car.permission.CAR_CAMERA, android.car.permission.CAR_HVAC, android.car.permission.CAR_MOCK_VEHICLE_HAL, android.car.permission.CAR_NAVIGATION_MANAGER, android.car.permission.CAR_PROJECTION, android.car.permission.CAR_RADIO",1,Camera,High,Contains CAMERA keyword
android.car.permission.CONTROL_APP_BLOCKING,1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_OPS_RESTRICTIONS",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.TETHER_PRIVILEGED",1,Connectivity,Low,Contains network keywords
android.permission.TETHER_PRIVILEGED,1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_EXTERNAL_STORAGE",1,Storage,Medium,Contains storage related keywords
"android.permission.CONFIRM_FULL_BACKUP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",1,Unknown,Low,No matching heuristics
android.permission.CLEAR_APP_GRANTED_URI_PERMISSIONS,1,Unknown,Low,No matching heuristics
android.permission.GET_APP_GRANTED_URI_PERMISSIONS,1,Unknown,Low,No matching heuristics
android.permission.GET_INTENT_SENDER_INTENT,1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.READ_FRAME_BUFFER",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS",1,Unknown,Low,No matching heuristics
"android.permission.SET_DEBUG_APP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.REMOVE_TASKS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SET_ACTIVITY_WATCHER",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.START_TASKS_FROM_RECENTS",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.STOP_APP_SWITCHES",1,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS, android.permission.MANAGE_USERS",1,Unknown,Low,No matching heuristics
android.permission.MANAGE_DEVICE_ADMINS,1,Unknown,Low,No matching heuristics
"android.permission.CONNECTIVITY_INTERNAL, android.permission.UPDATE_DEVICE_STATS",1,Unknown,Low,No matching heuristics
"android.permission.PACKAGE_USAGE_STATS, android.permission.READ_NETWORK_USAGE_HISTORY",1,Connectivity,Low,Contains network keywords
android.permission.RESET_SHORTCUT_MANAGER_THROTTLING,1,Unknown,Low,No matching heuristics
android.permission.BIND_CARRIER_SERVICES,1,Unknown,Low,No matching heuristics
android.permission.CHANGE_APP_IDLE_STATE,1,Unknown,Low,No matching heuristics
"android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",1,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_WIFI_STATE, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.PEERS_MAC_ADDRESS, android.permission.SCORE_NETWORKS",1,Connectivity,Low,Contains network keywords
"android.permission.CHANGE_WIFI_STATE, android.permission.TETHER_PRIVILEGED",1,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",1,Connectivity,Low,Contains network keywords
"android.permission.BROADCAST_STICKY, android.permission.READ_EXTERNAL_STORAGE, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",1,Storage,Medium,Contains storage related keywords
android.permission.CONFIGURE_DISPLAY_COLOR_MODE,1,Unknown,Low,No matching heuristics
"android.permission.CONNECTIVITY_INTERNAL, android.permission.RECEIVE_BOOT_COMPLETED",1,Unknown,Low,No matching heuristics
