provider,detector_count,regex_count,verification_supported_count
Azure,10,19,19
Open,6,6,6
Salesforce,3,6,6
Slack,2,6,6
Api,3,4,4
AWS,3,4,4
Bitbucket,2,4,4
Box,2,4,4
Get,4,4,4
Stripe,2,4,4
Twilio,1,4,4
Anypoint,2,3,3
Cloud,3,3,3
Git,2,3,3
Gitlab,1,3,3
Go,3,3,3
IP,3,3,3
Mailgun,1,3,3
Recharge,1,3,3
Sentry,2,3,3
Shopify,2,3,3
Square,2,3,3
Survey,3,3,3
Zip,3,3,3
Airtable,2,2,2
Alibaba,1,2,2
API,2,2,2
App,2,2,2
Artifactory,2,2,2
Atlassian,1,2,2
Atlassiandatacenter,1,2,0
Auth0oauth,1,2,2
Bannerbear,1,2,2
Buildkite,1,2,2
Circle,1,2,2
Click,2,2,2
Cloudflare,2,2,2
Coinbase,1,2,2
Copper,1,2,2
Currency,2,2,2
Customer,2,2,2
Deep,2,2,2
Digital,2,2,2
Discord,2,2,2
Dockerhub,1,2,2
Eleven,1,2,2
Exchange,2,2,2
Flight,2,2,2
Form,2,2,2
Fullstory,1,2,2
GCP,2,2,2
Gemini,1,2,2
Generic,1,2,2
Github,1,2,2
Google,2,2,2
Grafana,2,2,2
Graph,1,2,2
Heroku,1,2,2
Hub,1,2,2
Intra42,1,2,2
JDBC,1,2,2
Line,2,2,2
Map,1,2,2
Max,1,2,2
New,2,2,2
NGC,1,2,2
Npm,1,2,2
One,1,2,2
Paypal,1,2,2
Pdf,2,2,2
Planet,2,2,2
Portainer,2,2,2
Pub,1,2,2
Pusher,1,2,2
Ramp,1,2,2
Razor,1,2,2
Redis,1,2,2
Robinhood,1,2,2
Scraper,2,2,2
Scraping,2,2,2
Screenshot,2,2,2
Sourcegraph,2,2,2
Tableau,1,2,2
Trello,1,2,2
Trufflehog,1,2,2
Typeform,1,2,2
User,2,2,2
Weather,2,2,2
Webex,2,2,2
We,1,2,2
World,2,2,2
You,2,2,2
Abstract,1,1,1
Abuse,1,1,1
Abyssale,1,1,1
Accuweather,1,1,1
Adafruit,1,1,1
Adobe,1,1,1
Adzuna,1,1,1
Aeroworkflow,1,1,1
Agora,1,1,1
Aha,1,1,1
Airbrake,1,1,1
Airship,1,1,1
Air,1,1,1
Aiven,1,1,1
Alchemy,1,1,1
Alconost,1,1,1
Alegra,1,1,1
Aletheia,1,1,1
Algolia,1,1,1
Alien,1,1,1
Allsports,1,1,1
Amadeus,1,1,1
Ambee,1,1,1
Amplitude,1,1,1
Anthropic,1,1,1
Apacta,1,1,1
Api2Cart,1,1,1
Apiflash,1,1,1
Apify,1,1,1
Apilayer,1,1,1
Apollo,1,1,1
Appcues,1,1,1
Appfollow,1,1,1
Appointedd,1,1,1
Apptivo,1,1,1
Artsy,1,1,1
Asana,1,1,1
Assembly,1,1,1
Atera,1,1,1
Audd,1,1,1
Auth0Management,1,1,1
Autodesk,1,1,1
Autoklose,1,1,1
Auto,1,1,1
Avaza,1,1,1
Aviation,1,1,1
Aws,1,1,0
Axonaut,1,1,1
Aylien,1,1,1
Ayrshare,1,1,1
Azure_Entra,1,1,0
Baremetrics,1,1,1
Beamer,1,1,1
Beebole,1,1,1
Besnappy,1,1,1
Besttime,1,1,1
Better,1,1,1
Billomat,1,1,1
Bing,1,1,1
Bitbar,1,1,1
Bitcoin,1,1,1
Bitfinex,1,1,1
Bit,1,1,1
Bitmex,1,1,1
Blazemeter,1,1,1
Blit,1,1,1
Block,1,1,1
Blogger,1,1,1
Bomb,1,1,1
Boost,1,1,1
Borgbase,1,1,1
Braintree,1,1,1
Brain,1,1,1
Brandfetch,1,1,1
Browser,1,1,1
Browshot,1,1,1
Bsc,1,1,1
Buddy,1,1,1
Budibase,1,1,1
Bugherd,1,1,1
Bugsnag,1,1,1
Bulbul,1,1,1
Bulksms,1,1,1
Butter,1,1,1
Caflou,1,1,1
Calendarific,1,1,1
Calendly,1,1,1
Calorie,1,1,1
Campayn,1,1,1
Canny,1,1,1
Capsule,1,1,1
Captain,1,1,1
Carbon,1,1,1
Cashboard,1,1,1
Caspio,1,1,1
Censys,1,1,1
Central,1,1,1
Cex,1,1,1
Chartmogul,1,1,1
Chatbot,1,1,1
Chatfule,1,1,1
Chec,1,1,1
Checkly,1,1,1
Checkout,1,1,1
Checkvist,1,1,1
Cicero,1,1,1
Clarifai,1,1,1
Clearbit,1,1,1
Clickup,1,1,1
Cliengo,1,1,1
Clientary,1,1,1
Clinchpad,1,1,1
Clockify,1,1,1
Clockwork,1,1,1
Close,1,1,1
Cloudinary,1,1,1
Cloudmersive,1,1,1
Cloudplan,1,1,1
Cloudsmith,1,1,1
Cloverly,1,1,1
Cloze,1,1,1
Clust,1,1,1
Coda,1,1,1
Codacy,1,1,1
Codeclimate,1,1,1
Codemagic,1,1,1
Codequiry,1,1,1
Coin,1,1,1
Coinlayer,1,1,1
Coinlib,1,1,1
Collect2,1,1,1
Column,1,1,1
Commerce,1,1,1
Commodities,1,1,1
Company,1,1,1
Confluent,1,1,1
Contentful,1,1,1
Conversion,1,1,1
Convert,1,1,1
Convertkit,1,1,1
Convier,1,1,1
Couchbase,1,1,1
Country,1,1,1
Courier,1,1,1
Coveralls,1,1,1
Craft,1,1,1
Crowdin,1,1,1
Crypto,1,1,1
Currencyfreaks,1,1,1
Currencylayer,1,1,1
Currents,1,1,1
D7Network,1,1,1
Daily,1,1,1
Dandelion,1,1,1
Dareboost,1,1,1
Databox,1,1,1
Databricks,1,1,1
Datadog,1,1,1
Data,1,1,1
Debounce,1,1,1
Deepgram,1,1,1
Delighted,1,1,1
Demio,1,1,1
Deno,1,1,1
Deputy,1,1,1
Detectify,1,1,1
Detect,1,1,1
Dfuse,1,1,1
Diffbot,1,1,1
Diggernaut,1,1,1
Disqus,1,1,1
Ditto,1,1,1
Dnscheck,1,1,1
Docker,1,1,1
Docparser,1,1,1
Documo,1,1,1
Docusign,1,1,1
Doppler,1,1,1
Dotdigital,1,1,1
Dovico,1,1,1
Drona,1,1,1
Drone,1,1,1
Dropbox,1,1,1
Duffel,1,1,1
Duply,1,1,1
Dwolla,1,1,1
Dynalist,1,1,1
Dyspatch,1,1,1
Eagle,1,1,1
Easy,1,1,1
Eco,1,1,1
Edamam,1,1,1
Eden,1,1,1
Eightx,1,1,1
Elastic,1,1,1
Enablex,1,1,1
Endor,1,1,1
Enigma,1,1,1
Envoy,1,1,1
Eraser,1,1,1
Etherscan,1,1,1
Ethplorer,1,1,1
Eventbrite,1,1,1
Everhour,1,1,1
Export,1,1,1
Extractor,1,1,1
Facebook,1,1,1
Face,1,1,1
Fast,1,1,1
Fastly,1,1,1
Feedier,1,1,1
Fetchrss,1,1,1
Fibery,1,1,1
Figma,1,1,1
File,1,1,1
Finage,1,1,1
Financial,1,1,1
Findl,1,1,1
Finnhub,1,1,1
Fixer,1,1,1
Flat,1,1,1
Fleetbase,1,1,1
Flexport,1,1,1
Flickr,1,1,1
Flightstats,1,1,1
Float,1,1,1
Flow,1,1,1
Flutterwave,1,1,1
Fly,1,1,1
Fmfw,1,1,1
Formcraft,1,1,1
Formsite,1,1,1
Four,1,1,1
Frame,1,1,1
Freshbooks,1,1,1
Freshdesk,1,1,1
Front,1,1,1
FTP,1,1,1
Fulcrum,1,1,1
FX,1,1,1
Geckoboard,1,1,1
Gengo,1,1,1
Geoapify,1,1,1
Geocode,1,1,1
Geocodify,1,1,1
Geocodio,1,1,1
Geo,1,1,1
Getgist,1,1,1
Getresponse,1,1,1
Gitter,1,1,1
Glassnode,1,1,1
Good,1,1,1
Graphhopper,1,1,1
Groovehq,1,1,1
Groq,1,1,1
GT,1,1,1
Guardianapi,1,1,1
Gumroad,1,1,1
Gyazo,1,1,1
Happyscribe,1,1,1
Harness,1,1,1
Harvest,1,1,1
Hashi,1,1,1
Hasura,1,1,1
Hello,1,1,1
Help,1,1,1
Helpscout,1,1,1
Here,1,1,1
Hive,1,1,1
Hiveage,1,1,1
Holiday,1,1,1
Holistic,1,1,1
Honeycomb,1,1,1
Host,1,1,1
Html2Pdf,1,1,1
Hugging,1,1,1
Humanity,1,1,1
Hunter,1,1,1
Hybiscus,1,1,1
Hypertrack,1,1,1
Ibm,1,1,1
Icon,1,1,1
Iexapis,1,1,1
Iexcloud,1,1,1
Imagekit,1,1,1
Imagga,1,1,1
Impala,1,1,1
Infura,1,1,1
Insightly,1,1,1
Instabot,1,1,1
Instamojo,1,1,1
Intercom,1,1,1
Interseller,1,1,1
Intrinio,1,1,1
Invoice,1,1,1
Ip2location,1,1,1
Ipapi,1,1,1
I,1,1,1
Ip,1,1,1
Jira,1,1,1
Jotform,1,1,1
Jumpcloud,1,1,1
Jupiter,1,1,1
Juro,1,1,1
JWT,1,1,1
Kanban,1,1,1
Kanbantool,1,1,1
Karma,1,1,1
Keen,1,1,1
Kickbox,1,1,1
Klaviyo,1,1,1
Klipfolio,1,1,1
Knapsack,1,1,1
Kontent,1,1,1
Kraken,1,1,1
Ku,1,1,1
Kylas,1,1,1
Langfuse,1,1,1
Lang,1,1,1
Language,1,1,1
Lark,1,1,1
Launch,1,1,1
LDAP,1,1,1
Leadfeeder,1,1,1
Lemlist,1,1,1
Lemon,1,1,1
Lendflow,1,1,1
Less,1,1,1
Lexigram,1,1,1
Linear,1,1,1
Link,1,1,1
Live,1,1,1
Livestorm,1,1,1
Loadmill,1,1,1
Lob,1,1,1
Location,1,1,1
Loggly,1,1,1
Loginradius,1,1,1
Logz,1,1,1
Lokalise,1,1,1
Loyverse,1,1,1
Lunch,1,1,1
Luno,1,1,1
M3o,1,1,1
Mad,1,1,1
Magic,1,1,1
Magnetic,1,1,1
Mailboxlayer,1,1,1
Mailchimp,1,1,1
Mailerlite,1,1,1
Mail,1,1,1
Mailmodo,1,1,1
Mailsac,1,1,1
Mandrill,1,1,1
Manifest,1,1,1
Mapquest,1,1,1
Marketstack,1,1,1
Mattermost,1,1,1
Mavenlink,1,1,1
Meaning,1,1,1
Media,1,1,1
Meistertask,1,1,1
Meraki,1,1,1
Mesibo,1,1,1
Message,1,1,1
Meta,1,1,1
Metabase,1,1,1
Metrilo,1,1,1
Microsoft,1,1,1
Mindmeister,1,1,1
Miro,1,1,1
Mite,1,1,1
Mixmax,1,1,1
Mixpanel,1,1,1
Mockaroo,1,1,1
Moderation,1,1,1
Monday,1,1,1
Mongo,1,1,1
Monkey,1,1,1
Moonclerk,1,1,1
Moosend,1,1,1
Moralis,1,1,1
Mrticktock,1,1,1
Mux,1,1,1
Myfreshworks,1,1,1
My,1,1,1
Nasdaq,1,1,1
Nethunt,1,1,1
Netlify,1,1,1
Netsuite,1,1,1
Neutrino,1,1,1
Newsapi,1,1,1
Newscatcher,1,1,1
Nexmo,1,1,1
Nftport,1,1,1
Ngrok,1,1,1
Nicereply,1,1,1
Nightfall,1,1,1
Nimble,1,1,1
Noticeable,1,1,1
Notion,1,1,1
Nozbe,1,1,1
Nu,1,1,1
Numverify,1,1,1
Nutritionix,1,1,1
NVAPI,1,1,1
Nylas,1,1,1
Oanda,1,1,1
Octopus,1,1,1
Okta,1,1,1
Omnisend,1,1,1
Onedesk,1,1,1
Onepage,1,1,1
Onesignal,1,1,1
Onfleet,1,1,1
OOP,1,1,1
Openuv,1,1,1
Opsgenie,1,1,1
Optimizely,1,1,1
Overloop,1,1,1
Owlbot,1,1,1
Package,1,1,1
Pagarme,1,1,1
Pager,1,1,1
Pandadoc,1,1,1
Panda,1,1,1
Paperform,1,1,1
Parallel,1,1,1
Parsehub,1,1,1
Parsers,1,1,1
Parseur,1,1,1
Partnerstack,1,1,1
Pastebin,1,1,1
Paydirtapp,1,1,1
Paymoapp,1,1,1
Paymongo,1,1,1
Paystack,1,1,1
People,1,1,1
Pepipost,1,1,1
Percy,1,1,1
Pg,1,1,1
Photoroom,1,1,1
Phrase,1,1,1
Pinata,1,1,1
Pinecone,1,1,1
Pipedream,1,1,1
Pipedrive,1,1,1
Pivotal,1,1,1
Pixabay,1,1,1
Plaid,1,1,1
Planview,1,1,1
Planyo,1,1,1
Plivo,1,1,1
Podio,1,1,1
Polls,1,1,1
Poloniex,1,1,1
Polygon,1,1,1
Position,1,1,1
Postage,1,1,1
Postbacks,1,1,1
Posthog,1,1,1
Postman,1,1,1
Postmark,1,1,1
Powrbot,1,1,1
Prefect,1,1,1
Privacy,1,1,1
Private,1,1,1
Prodpad,1,1,1
Prospect,1,1,1
Protocols,1,1,1
Proxy,1,1,1
Pulumi,1,1,1
Pure,1,1,1
Push,1,1,1
Py,1,1,1
Qase,1,1,1
Qualaroo,1,1,1
Qubole,1,1,1
Rabbit,1,1,1
Railway,1,1,1
Rapid,1,1,1
Raven,1,1,1
Rawg,1,1,1
Reachmail,1,1,1
Read,1,1,1
Really,1,1,1
Rebrandly,1,1,1
Red,1,1,1
Refiner,1,1,1
Rentman,1,1,1
Repairshopr,1,1,1
Replicate,1,1,1
Reply,1,1,1
Request,1,1,1
Restpack,1,1,1
Rev,1,1,1
Revamp,1,1,1
Ring,1,1,1
Rite,1,1,1
Roaring,1,1,1
Rocket,1,1,1
Rootly,1,1,1
Route4me,1,1,1
Rownd,1,1,1
Ruby,1,1,1
Run,1,1,1
Salad,1,1,1
Salesblink,1,1,1
Salescookie,1,1,1
Salesflare,1,1,1
Salesmate,1,1,1
Sanity,1,1,1
Satismeter,1,1,1
Sauce,1,1,1
Scaleway,1,1,1
Scalr,1,1,1
Scrapeowl,1,1,1
Scrape,1,1,1
Scrapfly,1,1,1
Scrutinizer,1,1,1
Security,1,1,1
Segment,1,1,1
Select,1,1,1
Semaphore,1,1,1
Sendbird,1,1,1
Send,1,1,1
Sendin,1,1,1
Serphouse,1,1,1
Serp,1,1,1
Sheety,1,1,1
Sherpadesk,1,1,1
Shipday,1,1,1
Shippo,1,1,1
Shodan,1,1,1
Shortcut,1,1,1
Shotstack,1,1,1
Shutterstock,1,1,1
Signable,1,1,1
Signalwire,1,1,1
Signaturit,1,1,1
Signupgenius,1,1,1
Sigopt,1,1,1
Sim,1,1,1
Simplesat,1,1,1
Simply,1,1,1
Simvoly,1,1,1
Sinch,1,1,1
Sirv,1,1,1
Siteleaf,1,1,1
Skrappio,1,1,1
Sky,1,1,1
Smartsheets,1,1,1
Smarty,1,1,1
Smooch,1,1,1
Snipcart,1,1,1
Snowflake,1,1,1
Snyk,1,1,1
Sonar,1,1,1
Sparkpost,1,1,1
Spectral,1,1,1
Speech,1,1,1
Splunk,1,1,1
Spoonacular,1,1,1
Sportsmonk,1,1,1
SQL,1,1,1
Squarespace,1,1,1
Ssl,1,1,1
Statuscake,1,1,1
Statuspage,1,1,1
Statuspal,1,1,1
Stitchdata,1,1,1
Stockdata,1,1,1
Storecove,1,1,1
Stormboard,1,1,1
Stormglass,1,1,1
Storyblok,1,1,1
Storychief,1,1,1
Strava,1,1,1
Streak,1,1,1
Stripo,1,1,1
Stytch,1,1,1
Sugester,1,1,1
Sumo,1,1,1
Supabase,1,1,1
Super,1,1,1
Survicate,1,1,1
Swell,1,1,1
Swiftype,1,1,1
Tailscale,1,1,1
Tallyfy,1,1,1
Tatum,1,1,1
Taxjar,1,1,1
Teamgate,1,1,1
Teamwork,1,1,1
Technical,1,1,1
Tefter,1,1,1
Telegram,1,1,1
Teletype,1,1,1
Telnyx,1,1,1
Terraform,1,1,1
Testing,1,1,1
Textmagic,1,1,1
The,1,1,1
Thinkific,1,1,1
Thousand,1,1,1
Ticket,1,1,1
Tickettailor,1,1,1
Tiingo,1,1,1
Time,1,1,1
Timezoneapi,1,1,1
Tines,1,1,1
T,1,1,1
Tmetric,1,1,1
Todoist,1,1,1
Toggl,1,1,1
Tokeet,1,1,1
Tomorrow,1,1,1
Tomtom,1,1,1
Tradier,1,1,1
Transferwise,1,1,1
Travel,1,1,1
Travis,1,1,1
Tru,1,1,1
Twelve,1,1,1
Twist,1,1,1
Twitch,1,1,1
Twitter,1,1,1
Tyntec,1,1,1
Typetalk,1,1,1
Ubidots,1,1,1
Uclassify,1,1,1
Unify,1,1,1
Unplugg,1,1,1
Unsplash,1,1,1
UPC,1,1,1
Uplead,1,1,1
Upload,1,1,1
Uptime,1,1,1
Upwave,1,1,1
URI,1,1,1
Urlscan,1,1,1
Userflow,1,1,1
Vagrant,1,1,1
Vat,1,1,1
Vbout,1,1,1
Vercel,1,1,1
Verifier,1,1,1
Verimail,1,1,1
Veriphone,1,1,1
Version,1,1,1
Viewneo,1,1,1
Virus,1,1,1
Visual,1,1,1
Voiceflow,1,1,1
Voicegain,1,1,1
Voodoo,1,1,1
Vouchery,1,1,1
Vpnapi,1,1,1
Vultr,1,1,1
Vyte,1,1,1
Walk,1,1,1
Web3Storage,1,1,1
Webflow,1,1,1
Web,1,1,1
Webscraping,1,1,1
Websitepulse,1,1,1
Weights,1,1,1
Whoxy,1,1,1
Wistia,1,1,1
Wit,1,1,1
Wiz,1,1,1
Worksnaps,1,1,1
Workstack,1,1,1
Wrike,1,1,1
XAI,1,1,1
Yandex,1,1,1
Yelp,1,1,1
Youtube,1,1,1
Zapier,1,1,1
Zendesk,1,1,1
Zenkit,1,1,1
Zen,1,1,1
Zenscrape,1,1,1
Zenserp,1,1,1
Zeplin,1,1,1
Zerobounce,1,1,1
Zero,1,1,1
Zipcodebase,1,1,1
Zoho,1,1,1
Zonka,1,1,1
Zulip,1,1,1
